"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",NA,1.07906128476998e-10,2.95279118667224e-06,6.88403489768064e-09,0.0304300233745221,0.195768618690656,6.12585577819402e-08,1.56418988872531e-09,0.00550284817627889,0.887641140045923,0.381456485493,0.77724297673032,0.00258422943671222,0.928313074336828,0.1631979952636,0.14405962362639,0.224878885683033,0.000111207580437034,0.00565759737710758,0.0893283190283949,0.00181705190759307,0.569150330472024,0.598356690599245,0.902680208475213,0.0146147945958079,0.733585082465278,0.739336778334095,6.69443178669127e-08
"Amygdala_R",1.07906128476998e-10,NA,0.0284554195053193,0.627164662430707,0.042093817524306,0.794622791536709,0.138660354579358,0.00791756659579557,3.21964677141295e-13,5.44472387176143e-08,0.211909475931061,0.115821785376784,0.0380323686051751,4.87678184879492e-06,0.234738791544942,0.00196697020311065,1.39944612342902e-07,0.0544085390784865,0.95200434944149,0.00864711229419779,0.858352509355217,7.90265630712383e-11,0.0179119757424364,3.67440510788963e-05,2.94830799996149e-07,3.6254040880479e-07,0.0147473306194041,0.776834846802422
"Dorsal_striatum_L",2.95279118667224e-06,0.0284554195053193,NA,0,0.00758221186878227,6.01882690354216e-07,2.12261360259536e-05,9.99200722162641e-15,0.000442926003451749,0.000537686802149162,2.29218739544734e-08,2.017777305241e-07,0.00017549110047077,6.35498911305543e-05,3.06124336870717e-05,1.12507403393636e-09,2.25188268032639e-09,1.92734717074927e-13,0.219633854861667,0.00205241219771501,0.00705449787299273,2.09017287922109e-07,0.0350214795689583,0.0459818280620889,0.00110869215993636,7.1274748170147e-07,1.30116424301718e-08,8.71656924417152e-09
"Dorsal_striatum_R",6.88403489768064e-09,0.627164662430707,0,NA,0.000224270660405645,9.37150357316341e-11,2.22722670484288e-06,3.22675219877055e-12,6.77982036512148e-07,1.76596613521429e-05,5.32907051820075e-15,6.12843109593086e-13,1.29562733430788e-07,1.82073023324847e-10,3.6181724283324e-11,2.22044604925031e-16,9.56428952259003e-07,8.88178419700125e-16,0.511942277316051,1.94835215960865e-07,5.66639676478076e-05,2.72284417235369e-11,5.34470891391248e-05,0.000844523555325605,0.000500029171562888,1.00675556979901e-06,0,0
"Fusiform_gyrus_L",0.0304300233745221,0.042093817524306,0.00758221186878227,0.000224270660405645,NA,0.0098084170359618,9.45082264003361e-07,4.11967304714267e-09,0.0420082088208853,0.504879527622456,0.0995041667216716,0.139161088048414,4.98312753609564e-05,1.33189612994133e-05,4.44089209850063e-16,6.33331394883641e-07,0.0168010252975974,0.00344852769163762,0.350182611658884,0.620193103995019,0.973834216484809,0.000889103324376972,0.0277047979134024,0.799890649075195,0.0537182809976442,0.00894793864084997,0.00123932068337451,0.00519234395067381
"Fusiform_gyrus_R",0.195768618690656,0.794622791536709,6.01882690354216e-07,9.37150357316341e-11,0.0098084170359618,NA,0.79094030665925,0.0276188286621832,1.16447455855706e-05,0.00823784464443444,0,0,4.84528151156738e-07,1.38035367869271e-06,3.21292326077582e-10,1.48521195342255e-11,0.000363264642557093,5.82684276606571e-07,0.951116268282489,0.0851617533515669,0.0144429621325699,2.72766701128191e-05,0.0261698187058712,0.21046261382388,1.88844495596641e-11,0.0140392732635857,2.13513913216445e-08,0.0462779108918512
"Hippocampus_L",6.12585577819402e-08,0.138660354579358,2.12261360259536e-05,2.22722670484288e-06,9.45082264003361e-07,0.79094030665925,NA,7.38431538138684e-12,0.630200813202783,0.00123675311894456,0.846730825809436,0.0251700626143267,0.0759710002503446,0.00191172519867933,0.0221499812073973,0.000890173571379549,0.133811619998463,0.044617332603778,0.493365943514415,0.000291444755623704,0.570239517556707,0.00163205704385883,0.270568683983634,0.413559439013947,0.639079574148644,0.0066210803445772,0.0112114533700294,1.25945795335092e-05
"Hippocampus_R",1.56418988872531e-09,0.00791756659579557,9.99200722162641e-15,3.22675219877055e-12,4.11967304714267e-09,0.0276188286621832,7.38431538138684e-12,NA,0.00641382929073187,5.16954678457804e-05,0.0534333990829199,0.229788989806427,6.53961486785093e-06,4.34218169909073e-06,5.12919484663144e-10,4.92109375471728e-09,1.72621261196326e-06,0.00055639603692148,0.00144463894684099,0.219355111750813,0.32887138455188,5.66791058531635e-12,0.964534684767358,0.829586107100083,0.0827592262357686,8.03473731991744e-10,1.07659998471732e-06,5.07620612211213e-11
"Insula_L",0.00550284817627889,3.21964677141295e-13,0.000442926003451749,6.77982036512148e-07,0.0420082088208853,1.16447455855706e-05,0.630200813202783,0.00641382929073187,NA,1.4210854715202e-14,1.06581410364015e-14,9.03721542044877e-14,9.94237650440155e-05,1.33226762955019e-15,0.0182503127079723,2.35162181283499e-07,3.89008460999207e-08,9.1748064865449e-06,0.358202807184981,0.0151986616329411,0.0209493962686667,4.87210272126504e-12,0,3.40216743666133e-12,0,0,2.24542396631833e-06,0.00981248834859505
"Insula_R",0.887641140045923,5.44472387176143e-08,0.000537686802149162,1.76596613521429e-05,0.504879527622456,0.00823784464443444,0.00123675311894456,5.16954678457804e-05,1.4210854715202e-14,NA,3.33711404065795e-07,6.00655134519457e-08,3.7045498224586e-08,6.16269155928606e-07,0.924876304489193,6.27887273323413e-05,7.90650088215994e-05,1.13425352776808e-05,0.00230667284468034,0.0949589820943793,0.84686447862346,3.53821906884377e-06,5.34683408659475e-13,3.88578058618805e-14,1.78872321963119e-05,6.2749007767593e-08,0.0725919898405656,0.0038861832089605
"Intracalcarine_cortex_L",0.381456485493,0.211909475931061,2.29218739544734e-08,5.32907051820075e-15,0.0995041667216716,0,0.846730825809436,0.0534333990829199,1.06581410364015e-14,3.33711404065795e-07,NA,0,7.29563551038481e-06,2.46379652901751e-07,4.67226599765169e-05,0,9.76012704967388e-06,4.01678690309382e-13,0.56857971227002,0.134064571183427,0.00196517947726393,2.09325117572767e-06,7.20475981097479e-08,1.14506967063832e-06,5.6843418860808e-13,1.18403163540393e-06,1.72872383075173e-10,0.00509708262960107
