"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",NA,0.00508491019095203,1.14344983455084e-05,0.000525598955851692,0.358600702416517,0.515324540204632,0.00144328425361628,5.99912184586771e-05,4.44089209850063e-16,1.4968269081983e-05,0.0783743685518583,0.0824818159932827,0.054202273360803,0.0944549286466128,0.0178877952844396,0.0442441243599432,0.00609682378911458,1.11679465675252e-08,0.0415896534905695,0.329959419426131,2.88280510574168e-12,1.19113607865984e-11,0.202546484048316,0.37619133255604,7.11363634664508e-09,7.80948949952176e-09,0.335622594258774,0.0225008358904337
"Amygdala_R",0.00508491019095203,NA,0.0147544542590721,0.00446179076917552,0.967387981442396,2.24731090181507e-06,0.000340646259203048,0.658322799974977,0.0305348492771345,0.0523081243921393,0.00271140436649864,0.138896264334734,0.403971909708631,0.370321521902002,0.766970459920295,0.906229815617199,0.032873570451043,0.000106976952303439,0.774082068328973,0.479980606854737,0.00881459168683052,0.0307585432245223,0.00175050684291045,0.00164803057952234,0.821554847681229,0.215022804373789,0.672887046427844,0.130758525578313
"Dorsal_striatum_L",1.14344983455084e-05,0.0147544542590721,NA,0,0.000415498724903429,0.456296476506092,0.000317574866425918,2.89084689519825e-08,1.95399252334028e-14,9.37028232783632e-14,0.351997589194242,0.440771462358082,0.554397073492338,0.41110639283037,0.808958948791943,0.000633113270696928,0,0,0.34483341237763,0.0131130297951447,0,0,1.94708072487337e-05,0.507976777096248,3.44106720451265e-07,8.07684363834937e-10,1.69666484950426e-06,1.32560629140244e-12
"Dorsal_striatum_R",0.000525598955851692,0.00446179076917552,0,NA,0.0285830928661133,0.109479117088903,0.000765896283810186,5.31489010757724e-06,2.72493139163998e-12,0,0.0535881333758972,0.0867771418262155,0.549447043465464,0.521359069373169,0.996689956874463,0.140497129070388,0,0,0.00554958323243104,0.108270473696097,1.43700606969333e-11,1.79705139657926e-11,0.000305493412630531,0.518785491881066,0.00260375244555489,8.85840867859145e-06,4.84676339396195e-06,3.42814665543756e-11
"Fusiform_gyrus_L",0.358600702416517,0.967387981442396,0.000415498724903429,0.0285830928661133,NA,0.76417498289266,9.73759806122132e-09,1.81526682574429e-09,0.396005708050373,0.427092006270231,0.000107827510682945,2.05861363467008e-06,0.455666596061541,0.993251603152786,4.18736787022311e-07,0.10936506552813,0.0626682290748071,0.00648064190033448,0.574037149720785,8.26923659591472e-06,0.140970198513757,0.000123212738159406,0.0487507248051615,0.325872615611738,0.0288554183774647,0.00602370088019866,4.40714131855202e-12,1.8122783274066e-09
"Fusiform_gyrus_R",0.515324540204632,2.24731090181507e-06,0.456296476506092,0.109479117088903,0.76417498289266,NA,0.0617685750874468,0.0304569876900089,0.994603674525326,0.0348913807261559,4.63478850321053e-06,8.63112007065681e-06,0.629781043638062,0.887315451841721,0.978738230844946,0.753490076632527,0.0554210987411241,0.0287611345095713,0.413519873392837,0.0562787855937348,0.122181480473714,0.5166556034613,0.000300689917287489,0.994288465916191,0.414981393378712,0.260246758025886,0.0412096127336992,0.117326513845188
"Hippocampus_L",0.00144328425361628,0.000340646259203048,0.000317574866425918,0.000765896283810186,9.73759806122132e-09,0.0617685750874468,NA,1.77635683940025e-15,0.0712642340530538,0.0166666709067598,0.00517968828195814,0.114504313519802,0.719003174734106,0.460267661630486,0.54090595113721,0.000690866520223432,0.00035581928534878,0.000182816214812753,0.0447249822584488,1.80186906284518e-07,0.0159558066407459,4.78314771346078e-06,0.00787894983616688,0.357656281646339,0.0297681684213522,2.66705195439698e-06,0.00574692819115796,5.10441663084116e-05
"Hippocampus_R",5.99912184586771e-05,0.658322799974977,2.89084689519825e-08,5.31489010757724e-06,1.81526682574429e-09,0.0304569876900089,1.77635683940025e-15,NA,0.0179934243915252,0.0151246743574518,0.000169098583985283,0.000174954836920094,0.768643220999314,0.135673567324166,0.0107687414745778,0.00372415390738312,0.00883242900165238,8.51561702557291e-05,0.511723468969728,0.000354613139539772,2.59289266724139e-07,1.23146381980632e-10,0.970145447754649,0.0600459748120779,0.00718215309346304,4.39066219382056e-06,1.60889079836579e-09,1.64241953370947e-11
"Insula_L",4.44089209850063e-16,0.0305348492771345,1.95399252334028e-14,2.72493139163998e-12,0.396005708050373,0.994603674525326,0.0712642340530538,0.0179934243915252,NA,0,0.00332030180888099,0.000863819285083167,0.780622022234055,0.0387297498604706,0.000727451135801083,0.00945812675452462,0.0339558253825323,1.73181335938466e-08,0.614550562814788,0.900903018264505,3.28191251952603e-10,3.61497476397687e-09,0.115899620977934,0.0022118219083187,1.70431224688627e-10,5.44586598039132e-12,0.517378896501382,0.375673203055922
"Insula_R",1.4968269081983e-05,0.0523081243921393,9.37028232783632e-14,0,0.427092006270231,0.0348913807261559,0.0166666709067598,0.0151246743574518,0,NA,0.000712373167843561,0.0233788475443037,0.687575242424323,0.541464943141023,0.804561576188346,0.0403009519107387,0.000243740122834346,9.75336917896641e-08,0.491723982606315,0.770487579031933,1.29613667798623e-07,4.22732358007494e-07,0.000858813133978842,0.930529630726949,0.00858375469792483,1.62842249507023e-06,0.0910816295028773,0.0487983067782114
"Intracalcarine_cortex_L",0.0783743685518583,0.00271140436649864,0.351997589194242,0.0535881333758972,0.000107827510682945,4.63478850321053e-06,0.00517968828195814,0.000169098583985283,0.00332030180888099,0.000712373167843561,NA,0,0.0111985027429999,0.0586424272597608,0.453876789986986,0.066058679910606,0.626975548882686,0.708567123333525,0.236300392956518,4.12192637133657e-07,0.938237578391372,0.02459872707932,0.0896192650754528,0.00429112947659416,0.0126901476067141,0.165005871969293,0.00304621083973089,0.00433502452323697
"Intracalcarine_cortex_R",0.0824818159932827,0.138896264334734,0.440771462358082,0.0867771418262155,2.05861363467008e-06,8.63112007065681e-06,0.114504313519802,0.000174954836920094,0.000863819285083167,0.0233788475443037,0,NA,0.188062407599598,0.108424186428141,0.00904459001586355,0.675574067829905,0.99205327344993,0.851075017251569,0.0481481386513161,0.00101521187931519,0.580933966673781,0.0876152314989342,0.0103021047833813,5.98125389728033e-06,0.0143535287426935,0.00188736319119354,2.40348434488169e-08,1.02143897202644e-05
