"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",NA,0,0.0913010136744103,0.75625599477506,1.85505232552785e-06,0.0113437132575029,0.000325839888999147,7.33887303328018e-06,0,0.000172429309627908,0.36283528789859,0.016160168787362,0.507857674056834,1.48050591786131e-07,0.946509686626167,0.254210359187208,0.196924330122994,0.547743380776899,0.196872371425437,0.336457578063515,1.02140518265514e-14,1.44572132043663e-10,0.295778382664763,0.736825902795047,0.754472109280945,0.111697572537262,0.000219189631147421,0.499489971842097
"Amygdala_R",0,NA,0.431604076731882,0.529071574683529,0.00960924145119146,0.0453364849809827,0.114391549639837,0.0415357775616951,0,2.34957127931423e-06,0.313474667771908,0.279320540516453,0.948174158816513,6.43301247618133e-05,0.0727090478467605,0.0486198311501855,0.256902511915945,0.0812839603297271,0.660190122562809,0.345857297730143,0.000268572766569886,0.00931977362613434,0.412948397303773,0.956982726256811,0.306517620513195,0.00194244055827819,0.0453301208611077,0.539524267587736
"Dorsal_striatum_L",0.0913010136744103,0.431604076731882,NA,0,1.91738456722934e-05,0.162504313498278,1.01284723053041e-07,0.00737303482890006,1.31228148347873e-07,5.19720631828591e-05,2.20417360465852e-05,2.27595720048157e-13,3.84137166520304e-14,1.59635115952739e-05,2.20855037946777e-06,0.000769364421232765,0,0,0.544191923414716,4.13189482628695e-11,0.836204056126558,0.0332615531575671,0,9.2281737806843e-13,0.0481051492191487,0.00129814883973767,2.44249065417534e-15,2.22044604925031e-15
"Dorsal_striatum_R",0.75625599477506,0.529071574683529,0,NA,2.5150301841137e-09,0.0410631406475801,1.89899607150323e-09,0.000140033494560043,0.00251134928755681,0.0257012410507294,9.18855008968933e-07,0,2.22044604925031e-16,5.94876614634643e-08,4.3977252095484e-06,0.0016095820587867,2.8421709430404e-14,1.22124532708767e-14,0.367877530025267,3.10862446895044e-15,0.493154548808147,0.00172205961725869,0,4.35428748168931e-07,0.000658832567445256,2.58649422590906e-06,0,7.29150073652818e-12
"Fusiform_gyrus_L",1.85505232552785e-06,0.00960924145119146,1.91738456722934e-05,2.5150301841137e-09,NA,3.01314528883267e-13,0,0,0.95907579630235,0.00290299516772197,2.01969774238364e-09,2.88657986402541e-15,1.70210956440542e-10,1.42774680966795e-13,3.99680288865056e-15,4.21440660147709e-13,1.95179296138548e-05,0.000237766921094229,8.24749419603421e-06,3.39032835139363e-07,2.04760652877667e-11,0,0.00149954601021474,7.05332263706282e-08,2.11112436399041e-05,0.00289802889856983,3.72764283662619e-07,2.76032915635938e-07
"Fusiform_gyrus_R",0.0113437132575029,0.0453364849809827,0.162504313498278,0.0410631406475801,3.01314528883267e-13,NA,3.54505660382642e-08,4.44089209850063e-16,0.182268195731817,0.000104725443812015,3.29025695577911e-12,0.000530071413803679,7.49089679175086e-12,1.80300219199125e-13,6.84823087127029e-10,4.2557552493161e-06,0.000650612527737238,0.034872573099767,0.0112242725029987,0.00176917898014461,6.28428208582221e-06,6.97349231248978e-07,0.187859354581643,0.000773853205742636,7.66409158359238e-12,0.000187736348671752,0.327350509580861,0.298794232361663
"Hippocampus_L",0.000325839888999147,0.114391549639837,1.01284723053041e-07,1.89899607150323e-09,0,3.54505660382642e-08,NA,0,0.299044969058821,0.00132327628525153,3.30156790795400e-10,1.11031184246713e-11,1.04045883020376e-10,2.04206207499169e-09,0,2.32398544852686e-09,0.000282789994882515,0.0106470307332824,0.0220196774968051,2.7715316130994e-07,3.73144687371152e-06,5.09814412907872e-13,4.80877557971215e-05,2.40275259577594e-05,0.000408494449305241,0.000103693967782092,8.96926470428383e-06,1.07467271655004e-05
"Hippocampus_R",7.33887303328018e-06,0.0415357775616951,0.00737303482890006,0.000140033494560043,0,4.44089209850063e-16,0,NA,0.765963515463198,0.000456536912888605,2.1140928785357e-08,1.5593348390297e-08,2.38247022110727e-07,2.08344452801157e-12,3.55027118814633e-12,3.54581675132692e-08,0.000879274168168021,0.21805765562853,0.266759678451903,8.04900308182255e-06,0,0,0.0568620392390446,3.91309944758333e-06,0.000152338645686534,0.0108734479331094,4.91430309157437e-06,6.28981844386090e-09
"Insula_L",0,0,1.31228148347873e-07,0.00251134928755681,0.95907579630235,0.182268195731817,0.299044969058821,0.765963515463198,NA,3.89010423873515e-09,0.538636199169114,0.40983171065715,0.175431175373906,0.00372957671141716,0.0881271173088041,0.78477943290664,0.000236568891230693,0.203200809341001,0.516916344062555,0.657234345711802,2.68971985128985e-07,0.0137729476546959,0.0195802359957518,0.310505433642907,0.584822279207205,0.982699026870417,1.03208019064382e-06,4.99921937699987e-05
"Insula_R",0.000172429309627908,2.34957127931423e-06,5.19720631828591e-05,0.0257012410507294,0.00290299516772197,0.000104725443812015,0.00132327628525153,0.000456536912888605,3.89010423873515e-09,NA,6.42933195398321e-05,0.685483542222091,6.3729977660465e-05,0.296406736801625,6.86476204769804e-08,1.94928865990818e-05,0.00232293345470236,0.032368311819198,0.200790137936672,0.159283706579531,0.0492728121788306,0.835479423239297,0.0113656404164009,4.15257895691745e-06,2.23403769039621e-07,0.0603497083216278,0.0221529850870334,0.00976689757438898
