ID,metric,condition,Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
76,clustering,reward,0.794466403,0.841897233,0.823529412,0.857142857,0.912280702,0.807017544,0.852813853,0.780952381,0.861904762,0.923976608,0.928571429,0.794117647,0.800865801,0.853754941,0.878947368,0.815217391,0.778656126,0.807971014,0.692307692,0.723646724,0.794871795,0.742424242,0.775362319,0.804347826,0.81027668,0.81884058,0.838095238,0.934065934,0.817532468,0.816824852,0.868815154,0.84323554,0.853749657,0.827310371,0.707977208,0.768648019,0.837967829
77,clustering,reward,0.849673203,0.795321637,0.614379085,0.694444444,0.702898551,0.768421053,0.830409357,0.815789474,0.815789474,0.752380952,0.701754386,0.752631579,0.909090909,0.699346405,0.710144928,0.719367589,0.636363636,0.803921569,0.678362573,0.723809524,0.784313725,0.713450292,0.755555556,0.636363636,0.8,0.816666667,0.703296703,0.666666667,0.822798418,0.687277184,0.710803689,0.740935673,0.796209273,0.804218657,0.701086048,0.748882009,0.69047064
78,clustering,reward,0.893333333,0.913043478,0.893280632,0.857142857,0.893333333,0.886666667,0.893333333,0.903333333,0.90942029,0.874458874,0.87,0.849002849,0.885714286,0.87012987,0.903333333,0.849230769,0.898550725,0.89,0.90952381,0.872727273,0.886153846,0.947368421,0.908496732,0.845849802,0.855072464,0.849230769,0.861660079,0.920948617,0.90076087,0.884743554,0.881965812,0.868556505,0.872045599,0.877922078,0.891125541,0.916761134,0.884238808
79,clustering,reward,0.833333333,0.884615385,0.84045584,0.856666667,0.883333333,0.866666667,0.898550725,0.923913043,0.861538462,0.864615385,0.858461538,0.883333333,0.941176471,0.966666667,0.920289855,0.93115942,0.927536232,0.927536232,0.95,0.883333333,0.923913043,0.885714286,0.9,0.93115942,0.89,0.896666667,0.896666667,0.902173913,0.885103122,0.888048743,0.911594203,0.869487179,0.878205128,0.953921569,0.916666667,0.904813665,0.9075
80,clustering,reward,0.844155844,0.948529412,0.766666667,0.822134387,0.826839827,0.833333333,0.79,0.78,0.822463768,0.866666667,0.807017544,0.777777778,0.775,0.807017544,0.77,0.816993464,0.849802372,0.861471861,0.857142857,0.884210526,0.791666667,0.885714286,0.80952381,0.781538462,0.770562771,0.815217391,0.848484848,0.941176471,0.840671314,0.825018822,0.804611097,0.806042885,0.818727649,0.791008772,0.870676692,0.838690476,0.845180898
81,clustering,reward,0.911764706,0.908333333,0.856666667,0.856666667,0.923976608,0.816666667,0.852380952,0.883040936,0.844202899,0.841897233,0.843076923,0.843076923,0.865942029,0.843076923,0.926315789,0.857142857,0.885714286,0.863157895,0.857142857,0.833333333,0.862318841,0.909090909,0.848484848,0.848484848,0.863333333,0.858695652,0.847826087,0.824615385,0.888879982,0.865551378,0.902478418,0.834273504,0.852032279,0.854509476,0.845238095,0.885704875,0.842352792
82,clustering,reward,0.795321637,0.836363636,0.782608696,0.842857143,0.895238095,0.904411765,0.75,0.742424242,0.806666667,0.821052632,0.844202899,0.766666667,0.837944664,0.80952381,0.905263158,0.822463768,0.80952381,0.79,0.845588235,0.953216374,0.844202899,0.781818182,0.869565217,0.918128655,0.806666667,0.793478261,0.9,0.813852814,0.781027379,0.806247412,0.874321674,0.83842711,0.806966056,0.823734237,0.899402305,0.81301054,0.875386672
83,clustering,reward,0.79047619,0.771428571,0.764705882,0.867647059,0.675324675,0.789473684,0.683333333,0.691176471,0.812865497,0.823529412,0.761904762,0.702898551,0.77124183,0.714285714,0.752631579,0.779220779,0.715789474,0.742105263,0.75,0.733333333,0.5,0.757142857,0.801169591,0.703296703,0.666666667,0.677536232,0.708333333,0.763157895,0.734103641,0.77256192,0.735725678,0.751425666,0.745149452,0.742763772,0.741666667,0.628571429,0.743989381
84,clustering,reward,0.901185771,0.873333333,0.901185771,0.880434783,0.902173913,0.913043478,0.897233202,0.896103896,0.893280632,0.870769231,0.884057971,0.866666667,0.855384615,0.851851852,0.90942029,0.883076923,0.923976608,0.851851852,1,0.873188406,0.912280702,0.883076923,0.883076923,0.919117647,0.935064935,0.865800866,0.885375494,0.855384615,0.89196405,0.889362253,0.898223709,0.887922705,0.891228916,0.853618234,0.936594203,0.897678812,0.88573867
85,clustering,reward,0.861538462,0.968421053,0.886153846,0.854700855,0.864615385,0.913043478,0.854700855,0.858461538,0.893333333,0.91,0.878787879,0.880434783,0.948717949,0.891774892,0.914285714,0.952631579,0.916666667,0.91,0.882352941,0.894927536,0.91,0.941520468,0.947619048,0.886153846,0.876666667,0.916996047,0.883333333,0.854700855,0.885780477,0.891880342,0.910510893,0.89075538,0.899249012,0.92024642,0.888640239,0.925760234,0.89295177
