"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",NA,9.89629309056106e-06,0.278586811459157,0.897142111070677,0.0124288185514756,0.815214380296815,1.1219763162984e-07,2.63581512172095e-09,0.0397872768529048,0.962753472427846,0.75984103003085,0.533750203893849,0.866492556934614,0.133459529244536,0.452894239155126,0.111091785336651,0.725651499356936,0.469313023315019,0.485013678707705,0.264039576444108,0.0364424884747101,0.124020077680796,0.0608012246334215,0.205406606264359,0.0220060577495746,0.481537368486648,0.604868493131995
"Amygdala_R",9.89629309056106e-06,NA,0.197036612492892,0.147492385158358,0.00166843677888329,0.477411117788299,2.50515006798846e-05,4.2318931714469e-07,0.00758252583543562,0.789058022970782,0.0838478545012207,0.670544479829848,0.946275640808572,0.277999933386938,0.813612211383167,0.400442960153667,0.475323382704592,0.24080289081637,0.142038593782768,0.984080657645874,0.00595640356389815,0.0357572431877795,0.149428727524268,0.416940537513639,0.1113366217112,0.586090705545761,0.270919882752592
"Dorsal_striatum_L",0.278586811459157,0.197036612492892,NA,0.00115859448979672,0.843713319300553,0.898502485779321,0.573808896423822,0.845865515739956,0.593090687519963,0.0628340643378043,0.261861416363555,0.24496972975456,0.666740526220946,0.046655667210608,0.953377968613381,0.947776593532465,0.000193947227337787,0.129125924829508,0.0326723771054489,0.0315904831299212,0.2055142616764,0.045195812672465,0.0186753844059662,0.0815826721381119,0.249073355439574,0.0293479463969017,0.112272711919056
"Dorsal_striatum_R",0.897142111070677,0.147492385158358,0.00115859448979672,NA,0.19599274095419,0.625504394309349,0.501920091905772,0.222864269602556,0.370320059478936,0.0143714164572226,0.555569117224113,0.0147052795370026,0.621875779722105,0.106924006444093,0.879432031477672,0.620785950582926,0.0862320191307444,0.156526518219393,0.493302346184578,0.441806918883601,0.127455448540779,0.300375931449731,0.0862007763538828,0.16927424822234,0.554016790529188,0.0065914455995304,0.000499093722238664
"Fusiform_gyrus_L",0.0124288185514756,0.00166843677888329,0.843713319300553,0.19599274095419,NA,0.573885928961086,0.00806646654491638,0.00103302859297139,0.130459191888674,0.643629330702718,0.13459686609803,0.063943119011749,0.683679103318075,0.70125144632573,0.775589465848726,0.0122401740529188,0.629438687584237,0.891274513337819,0.74862934357632,0.624864890596193,0.397501018923747,0.913406764125242,0.716688888572252,0.0989483319319935,0.0924572699788504,0.82828024171168,0.902573677991936
"Fusiform_gyrus_R",0.815214380296815,0.477411117788299,0.898502485779321,0.625504394309349,0.573885928961086,NA,0.16854616232767,0.969880806248717,0.965550741043855,0.630039774352059,0.0452013690110955,0.281432447477213,0.137786936087767,0.226360426564689,0.0778559282506268,0.0330805316009442,0.607396777301586,0.533191015210088,0.836477611007153,0.727029362677214,0.127849550671459,0.737927168157614,0.191155576325483,0.694717995218467,0.443822578142738,0.866896153483085,0.304733799361583
"Hippocampus_L",1.1219763162984e-07,2.50515006798846e-05,0.573808896423822,0.501920091905772,0.00806646654491638,0.16854616232767,NA,6.50953957403999e-10,0.259321623486017,0.653119960465979,0.567661000138647,0.674295743687717,0.981827464497083,0.795487088153956,0.030377476335957,0.0564762162515069,0.975606805831966,0.297272716517199,0.744509204669437,0.933039624483252,0.260137994831565,0.0415885397928129,0.0112933012110541,0.112038283892577,0.0135366012242144,0.976178548755172,0.295039134000143
"Hippocampus_R",2.63581512172095e-09,4.2318931714469e-07,0.845865515739956,0.222864269602556,0.00103302859297139,0.969880806248717,6.50953957403999e-10,NA,0.102314058294707,0.830479016050201,0.836089648424973,0.567993765086519,0.888743595362145,0.689171730542324,0.185342869901062,0.0384930267349666,0.809975432028646,0.460917824919116,0.820701544289428,0.501078906325161,0.0408787672800539,0.203809363915407,0.235821528545157,0.0394710815514747,0.00247409175989399,0.465157311757688,0.789568688734638
"Insula_L",0.0397872768529048,0.00758252583543562,0.593090687519963,0.370320059478936,0.130459191888674,0.965550741043855,0.259321623486017,0.102314058294707,NA,0.000188483099726744,0.275644172011533,0.0202155830750494,0.337002189273943,0.932742841416222,0.360182440377991,0.0772213863170883,0.0226649481406427,0.00720534887081326,0.617696779207467,0.353982235165245,0.000262259759721717,0.232237458545324,0.896761509480423,0.772306606144044,0.0194061762079945,0.00637731719571688,0.243164609907188
"Insula_R",0.962753472427846,0.789058022970782,0.0628340643378043,0.0143714164572226,0.643629330702718,0.630039774352059,0.653119960465979,0.830479016050201,0.000188483099726744,NA,0.039756210123461,0.00298374741518659,0.201157407897196,0.69129741020298,0.82925834871386,0.233106675157293,0.100136163633282,0.0814216303619955,0.950707167618637,0.707731026202174,0.00332350085799904,0.39816013280153,0.815211736101902,0.678109133243143,0.121168510618284,0.00236640020123979,0.000825956578584197
"Intracalcarine_cortex_L",0.75984103003085,0.0838478545012207,0.261861416363555,0.555569117224113,0.13459686609803,0.0452013690110955,0.567661000138647,0.836089648424973,0.275644172011533,0.039756210123461,NA,7.24269549134959e-06,0.586501153337166,0.208119214142417,0.2736385688536,0.00841583234094578,0.220313516454617,0.773785539939535,0.0387765939556606,0.573660388954687,0.863967712064638,0.110444079769214,0.193307229495113,0.120916423395037,0.494720635019439,0.226531407595387,0.876356313509144
"Intracalcarine_cortex_R",0.533750203893849,0.670544479829848,0.24496972975456,0.0147052795370026,0.063943119011749,0.281432447477213,0.674295743687717,0.567993765086519,0.0202155830750494,0.00298374741518659,7.24269549134959e-06,NA,0.773602807248583,0.58849554690667,0.6296197176434,0.0100623256611843,0.593986947842705,0.339064955803047,0.0118160088441428,0.900478947667371,0.314990359323496,0.115503027667924,0.031157991152875,0.369441228610518,0.371400890269713,0.0571981090392923,0.00711447184658187
"lOFC_R",0.866492556934614,0.946275640808572,0.666740526220946,0.621875779722105,0.683679103318075,0.137786936087767,0.981827464497083,0.888743595362145,0.337002189273943,0.201157407897196,0.586501153337166,0.773602807248583,NA,0.617437307024367,0.258194210258987,0.151950077108053,0.852747123521397,0.149771356592411,0.54052208710396,0.102057600129045,0.610708253435019,0.692638423268429,0.598149237471113,0.112979754657505,0.0770662554981736,0.888330899724836,0.673296875683059
"mOFC_L",0.133459529244536,0.277999933386938,0.046655667210608,0.106924006444093,0.70125144632573,0.226360426564689,0.795487088153956,0.689171730542324,0.932742841416222,0.69129741020298,0.208119214142417,0.58849554690667,0.617437307024367,NA,0.0114784960372716,0.251993447681096,0.136390100748708,0.84606392528215,0.899721983190247,0.715328733929304,0.0149466464396264,0.799881526724329,0.679683195425771,0.460621976830331,0.71920455591038,0.306275825637128,0.439393004114295
"mOFC_R",0.452894239155126,0.813612211383167,0.953377968613381,0.879432031477672,0.775589465848726,0.0778559282506268,0.030377476335957,0.185342869901062,0.360182440377991,0.82925834871386,0.2736385688536,0.6296197176434,0.258194210258987,0.0114784960372716,NA,0.00240352268650845,0.0121010587053041,0.509977223030887,0.215501074085849,0.273719151622649,0.293326458418835,0.0952367901145228,0.284747419606151,0.936283277655177,0.302807223194986,0.398190435901287,0.0307248370835174
"Oral_somatosensory_cortex_L",0.111091785336651,0.400442960153667,0.947776593532465,0.620785950582926,0.0122401740529188,0.0330805316009442,0.0564762162515069,0.0384930267349666,0.0772213863170883,0.233106675157293,0.00841583234094578,0.0100623256611843,0.151950077108053,0.251993447681096,0.00240352268650845,NA,0.356523389053546,0.810190762441624,0.307455615391544,0.79886150544838,0.983990947482939,0.708733230752303,0.814395762683151,0.0892523761545032,0.0534745277868742,0.29049220167605,0.633020669509067
