"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",NA,4.32480717904582e-11,0.26328525571716,0.792089799931491,0.00577677857141956,0.169254127377418,0.20270268318781,0.00809778798626248,4.42334884276363e-07,0.0130741931701506,0.554444451826092,0.0615541359555936,0.58721103802716,0.00134902046666152,0.986749840308305,0.337720474433929,0.535082146724354,0.403259239971056,0.379128702703219,1.39130845155933e-05,0.00129525583986023,0.969969720175978,0.936061724045373,0.661609662388307,0.212807557014338,0.0542714596378293,0.990993165920894
"Amygdala_R",4.32480717904582e-11,NA,0.737439480550714,0.490762095402263,0.0555912519015058,0.226693471499681,0.423906696867463,0.0986210365706126,1.29004508686581e-05,0.000154785768598842,0.80263692146552,0.190126052909623,0.554640520107586,0.00889961377068782,0.319096759249014,0.286286419814763,0.987908526475135,0.199906726871197,0.279921891789693,0.0208464483032968,0.17327665281313,0.726481626247768,0.812208463010885,0.240783201417897,0.00859776323525718,0.20910683537077,0.705301930306437
"Dorsal_striatum_L",0.26328525571716,0.737439480550714,NA,1.61225641726048e-08,0.150819929637538,0.586924873498087,0.0930900187705266,0.930392732756226,0.0534776819241296,0.274726839477766,0.0256535232856794,0.002192088083667,0.00192216747614582,0.0260097304441853,0.186473528107237,0.0249963855508495,2.25529774948718e-05,0.000273574885243821,0.00333310530898778,0.608933566318371,0.542737422156936,0.00125945719412091,0.000186466836337384,0.130608985714675,0.141540654574013,0.00586890687393993,0.0231525308123928
"Dorsal_striatum_R",0.792089799931491,0.490762095402263,1.61225641726048e-08,NA,0.00175222658126173,0.343446467293351,0.020969970335277,0.167036463091215,0.849441946472706,0.768385876869588,0.00167032627732544,5.70213541828402e-06,0.000739667218560225,0.000258100875809575,0.0968440573790175,0.0184794606735619,0.000573851820903304,0.000977316283414353,0.000708711313407218,0.651992160756928,0.165656127591236,0.00105737475628231,0.00705434402681582,0.0250114164350326,0.0433350403300872,0.000205475023688395,0.0604935753229281
"Fusiform_gyrus_L",0.00577677857141956,0.0555912519015058,0.150819929637538,0.00175222658126173,NA,0.00140675719312089,3.85647766201203e-05,6.42439229814329e-07,0.149684561776894,0.876425284278859,0.00394672790608253,0.000305160711048025,0.0072737102538265,0.000531998059061234,0.000551617578436137,0.000221331806218972,0.107493413859072,0.652064308108713,0.00624736101408319,6.60678890933575e-05,1.94399321973293e-06,0.255874886520742,0.0220201763185888,0.0152855755777677,0.0790953052565222,0.00521449654731665,0.0255653669801763
"Fusiform_gyrus_R",0.169254127377418,0.226693471499681,0.586924873498087,0.343446467293351,0.00140675719312089,NA,0.0224935149780925,0.000154502283070901,0.445439154915474,0.218849732718703,0.00134300573034851,0.492015630264323,9.2911135216589e-05,0.00302939607201314,0.0154063961504032,0.239812659200845,0.0225807632582091,0.504765414857115,0.124150837122432,0.0277683225876977,0.047373231354555,0.799983465697808,0.469080705114446,9.28213312656467e-06,0.014794513266726,0.625941248455823,0.796495603068455
"Hippocampus_L",0.20270268318781,0.423906696867463,0.0930900187705266,0.020969970335277,3.85647766201203e-05,0.0224935149780925,NA,7.22173705547391e-06,0.791224296739405,0.499807723635276,0.0474829632277181,0.00816252296908138,0.0379365688085775,0.0114472945619342,0.00137109242977607,0.00201061970900218,0.0274022401584029,0.69039949214097,0.0426910874553843,0.022843137030838,0.000470974411109104,0.456385221302329,0.0470593415868077,0.0941171582953286,0.0303017673250858,0.000934020690518844,0.17668059719782
"Hippocampus_R",0.00809778798626248,0.0986210365706126,0.930392732756226,0.167036463091215,6.42439229814329e-07,0.000154502283070901,7.22173705547391e-06,NA,0.305790063223996,0.813596209322021,0.0441761063580892,0.0419437436034249,0.242421642863819,0.00839687714133808,0.0115425646126428,0.00506715198758068,0.202649117671594,0.659812649170521,0.168533862262403,6.01765671204291e-06,2.06537368319104e-07,0.793356071899773,0.083902619331,0.0825902613491907,0.427235740146741,0.0364320330506529,0.00408728838132122
"Insula_L",4.42334884276363e-07,1.29004508686581e-05,0.0534776819241296,0.849441946472706,0.149684561776894,0.445439154915474,0.791224296739405,0.305790063223996,NA,0.000876833785736997,0.282789497495777,0.0447459692704513,0.72863127342212,0.00430440195761683,0.715112531763399,0.406060984609223,0.252334499395534,0.819211973337169,0.151440691982006,0.000728178605623686,0.0322520367340031,0.53231314869561,0.787936533029584,0.92552941765083,0.345956857183208,0.219743916371264,0.285034629322168
"Insula_R",0.0130741931701506,0.000154785768598842,0.274726839477766,0.768385876869588,0.876425284278859,0.218849732718703,0.499807723635276,0.813596209322021,0.000876833785736997,NA,0.79777976459604,0.050562864272377,0.354234916918793,0.217692695746211,0.102811709725861,0.415273010590984,0.703632847712005,0.490763531765609,0.851308876299713,0.147133383470528,0.50784233181296,0.642145302926852,0.462204195032251,0.104787994896455,0.582919366493456,0.566357595706049,0.604042486670111
