ID,metric,condition,module1,module2,module3,module4,Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R
37,clustering,reward,0.506655844,0.619047619,0.490868507,0.592857143,0.535714286,0.7,0.4,0.476190476,0.388888889,0.318181818,0.381818182,0.409090909,0.666666667,0.19047619,0.535714286,0.535714286,0.8,0.5,0.527777778,0.5,1,0.6,1,0,0.5,0.666666667,0,0,1,0.428571429,0.833333333,0.833333333
38,clustering,reward,0.87977144,0.781283372,0.793697798,0.853363005,0.933333333,0.778985507,0.804347826,0.778985507,0.803921569,0.919117647,0.921052632,0.885714286,0.876190476,0.894736842,0.830039526,0.789855072,0.941176471,0.852380952,0.8,0.904761905,0.773684211,0.768115942,0,0.836842105,0.857142857,0.852631579,0.78021978,0.819047619,0.894736842,0.844155844,0.76284585,0.852813853
39,clustering,reward,0.727648667,0.884674922,0.82731926,0.901336899,0.670995671,0.923809524,0.862745098,0.877192982,0.666666667,1,0.649122807,0.666666667,0.74025974,0.74025974,1,1,0.823529412,0.781818182,0.787878788,0.648351648,0.877192982,0.921568627,0.833333333,0.971428571,0.921568627,0.786764706,0.975,0.955882353,0.780952381,0.63,0.921568627,0.877192982
40,clustering,reward,0.795959596,0.812555704,0.70856699,0.805528974,0.872727273,0.911111111,0.878787879,0.878787879,0.848484848,0.590643275,0.614285714,0.785714286,0.623809524,0.593073593,0.863636364,0.725146199,0.833333333,0.8,0.772727273,0.758169935,0.75,0.742647059,0,0.772058824,0.712418301,0.779411765,0.933333333,1,0.708333333,0.75,0.766666667,0.727941176
41,clustering,reward,0.5,0.606926407,0.55029311,0.333333333,0.833333333,0,0.563636364,0.527272727,0.7,0,0.5,0.666666667,0.535714286,0.761904762,1,0.333333333,0,0,1,0,0.80952381,0.527272727,0,0.333333333,0.722222222,0.509090909,0.666666667,1,1,0.4,0.666666667,0.509090909
42,clustering,reward,0.646668895,0.664606227,0.577642496,0.655880231,0.666666667,1,0.666666667,0.857142857,0.7,0.8,0.389705882,0.53030303,0.709090909,0.566666667,0.742424242,0.688888889,0.696969697,0.495238095,0.833333333,0.509090909,0.583333333,0.551282051,0.666666667,0.666666667,0.535714286,0.511111111,0.483333333,0.654545455,0.333333333,0,0.8,0.472727273
43,clustering,reward,0.773232323,0.348989899,0.548809524,0.351406927,1,0.933333333,0.418181818,0.644444444,0.333333333,0,0.577777778,0.581818182,0.533333333,0.5,0.523809524,0.381818182,0.2,0.3,0.4,0.3,0.333333333,0,0.80952381,0.833333333,0.761904762,0.6,0.4,1,0.476190476,0.666666667,0.5,0.666666667
44,clustering,reward,0.691369048,0.602146995,0.69567776,0.57879902,0.857142857,0.714285714,0.727272727,0.580882353,0.6,1,0.575,0.619047619,0.608333333,0.757575758,0.448529412,0.666666667,0.533333333,0.666666667,0.714285714,0.461538462,0.60952381,0.490909091,0.666666667,0.681318681,0.933333333,0.727272727,0.714285714,0.571428571,0.763636364,0.712121212,0.552380952,0.666666667
45,clustering,reward,0.679693223,0.565189654,0.620526869,0.682525808,0.653846154,0.769230769,0.509881423,0.536842105,0.525641026,0.661764706,0.637362637,0.658333333,0.711111111,0.75,0.681318681,0.576923077,0.757575758,0.714285714,0.681818182,0.541666667,0.666666667,0.547368421,0.8,0.576923077,0.555555556,1,0.6,0,0.588235294,0.8,0.6,0.535714286
46,clustering,reward,0.534632035,0.558333333,0.650048563,0.703030303,0.628571429,0.428571429,0.533333333,0.466666667,0.628571429,0.714285714,0.490909091,0.59047619,0.692307692,0.745454545,0.545454545,0.8,1,0.466666667,0.777777778,0.666666667,0.5,0.733333333,0.571428571,0.6,0.666666667,0.694444444,0.6,0.416666667,0.8,0.681818182,0.516483516,0.628205128
47,clustering,reward,0.50952381,0.561237374,0.573958333,0.413888889,0.428571429,0.666666667,0.638888889,0.533333333,0.305555556,0.533333333,0.466666667,0.476190476,0.6,0.466666667,0.5,0.4,0.466666667,0.288888889,0.714285714,0.285714286,0.6,0.472727273,0.533333333,0.476190476,0.380952381,0.5,0.666666667,1,1,0.428571429,0.714285714,0.577777778
48,clustering,reward,0.371113446,0.679312354,0.605011043,0.498792017,0.455882353,0,0.666666667,0.705128205,0.428571429,0.5,0.428571429,0.6,0.588235294,0.606060606,0.580882353,0.514285714,0.5,0.4,0.742424242,0.487179487,0.745454545,0.6,0.571428571,0.65,0.733333333,0.581818182,0.681318681,0.717948718,0.436363636,0.535714286,0.676190476,0.743589744
50,clustering,reward,0.568487395,0.836728794,0.777782613,0.759782115,0.4,0.619047619,0.912087912,0.728571429,0.871794872,0.866666667,0.666666667,0.588235294,0.778947368,1,0.685714286,0.797385621,0.830882353,0.725146199,0.683982684,0.816993464,0.876190476,0.830065359,1,0.333333333,0.691666667,0.666666667,0.801169591,0.791666667,0.673684211,0.789473684,0.860294118,0.818181818
52,clustering,reward,0.365598291,0.532738095,0.390521284,0.531709957,0.166666667,0.422222222,0.333333333,0.5,0.666666667,0.333333333,0.384615385,0.488888889,0.318181818,0.6,0.666666667,0.5,0.436363636,0.523809524,0.377777778,0,0.464285714,0.833333333,0.4,0.5,0.5,0,0.285714286,0,0.166666667,0.5,0.6,1
53,clustering,reward,0.703896104,0.543434344,0.563045635,0.410119048,0.733333333,0.80952381,0.484848485,0.688888889,0.333333333,0,0.636363636,0.636363636,0.4,0.666666667,0.533333333,0.357142857,0.388888889,0.361111111,0.4,0.4,0.523809524,0.476190476,0.722222222,0.9,0.583333333,0.722222222,0.476190476,0.833333333,0.333333333,0.571428571,0.666666667,1
54,clustering,reward,0.641720779,0.697259481,0.632616301,0.542046696,0.821428571,0.727272727,0.591666667,0.648351648,0.583333333,0.642857143,0.618181818,0.4,0.672727273,0.637362637,0.485714286,0.525641026,0.520467836,0.636363636,0.560606061,0.638095238,1,0.549019608,1,0.593406593,0.666666667,0.483660131,0.709090909,0.571428571,0.527777778,0.583333333,0.651515152,0.6
55,clustering,reward,0.584126984,0.667243867,0.483054272,0.530753968,0.535714286,0.607142857,0.666666667,0.618181818,0.509090909,0,0.622222222,0.571428571,0.611111111,0.441666667,0.472222222,0.416666667,0.472222222,0.761904762,1,0.474358974,0.622222222,0.761904762,0.5,0.666666667,0.5,0.6,0.4,0.333333333,0.466666667,0.454545455,0.4,0.371428571
56,clustering,reward,0.725,0.701133589,0.601515151,0.041666667,1,0.5,0.756410256,0.694444444,0.3,0,1,0.4,0.818181818,0.709090909,0,0,0,0.166666667,1,0.5,0.772727273,0.580952381,0.711111111,0.666666667,0.833333333,0,0.727272727,0.803030303,0.696969697,0.488888889,0.733333333,0.636363636
57,clustering,reward,0.647348485,0.610317461,0.656467491,0.65534188,0.533333333,1,0.6,0.285714286,0.32967033,0.666666667,0.583333333,0.472727273,0.666666667,0.523809524,1,0.41025641,0.833333333,0.377777778,0.416666667,1,1,0.555555556,1,0.4,0.666666667,0.571428571,0.666666667,0.666666667,1,0.8,0.7,0.428571429
58,clustering,reward,0.568312325,0.603774588,0.545320825,0.425441225,0.504761905,0.647058824,0.466666667,0.727272727,0.666666667,0.333333333,0.657142857,0.464285714,0.711111111,0.644444444,0,0.333333333,0.709090909,0.659340659,0.577777778,0.67032967,0.636363636,0.584795322,0.333333333,0.571428571,0.666666667,0.333333333,0.551282051,0.591666667,0.621212121,0.725274725,0.727272727,0
59,clustering,reward,0.681073897,0.747402598,0.622267612,0.571266234,0.755555556,0.526315789,0.690909091,0.666666667,0.709090909,1,0.733333333,0.709090909,0.507352941,0.607142857,0.53030303,0.516666667,0.571428571,0.666666667,0.80952381,0.558823529,0.904761905,0.727272727,0,0.496732026,0.642857143,0.583333333,0.545454545,0.733333333,0.653846154,0.637362637,0.928571429,0.542857143
60,clustering,reward,0.849242424,0.893170427,0.857475797,0.648517126,0.971428571,1,0.921052632,0.80952381,0.6,0.852380952,0.861904762,0.563636364,0.763157895,0.861904762,0.852380952,0.865497076,0,0.876190476,0.973856209,0.973856209,0.921052632,0.921052632,0.8,1,0.921052632,0.861904762,0.967320261,0.967320261,0.619047619,0.748538012,0.861904762,0.947368421
61,clustering,reward,0.633928572,0.978021978,0.689674908,0.83974359,1,0.535714286,0.978021978,0.978021978,0.133333333,1,0.5,0.5,0.978021978,0.978021978,0.857142857,0.857142857,0.666666667,0.978021978,0.978021978,0.978021978,0.978021978,0.978021978,0.666666667,0.978021978,0.647619048,0.285714286,0.1,0.5,0.5,0.333333333,1,0.978021978
62,clustering,reward,0.395238095,0.779304029,0.625971945,0.130952381,0,0.5,0.758241758,0.833333333,0.380952381,0.333333333,0.380952381,0.7,0.8,0.769230769,0,0.523809524,0,0,0.666666667,0.333333333,0.730769231,0.794871795,0,0.928571429,0.576923077,0.727272727,0.833333333,0.807692308,0.8,0.577777778,0.722222222,0.758241758
63,clustering,reward,0.572222222,0.671590127,0.672088602,0.516566767,0.333333333,0.6,0.578947368,0.617647059,0.75,0.688888889,0.666666667,0.688888889,0.723809524,0.742424242,0.714285714,0.787878788,0.564102564,0,0.683333333,0.653846154,0.916666667,0.573099415,0.60952381,0.5,0.679487179,0.5,0.619047619,0.712121212,0.7,0.733333333,0.861111111,0.596491228
64,clustering,reward,0.868591843,0.840217029,0.888198996,0.896809712,0.831168831,1,0.796923077,0.845849802,0.921052632,0.947368421,0.781538462,0.861660079,0.806666667,0.83,0.916996047,0.916996047,0.848484848,0.904761905,0.924242424,0.83982684,0.871428571,0.846666667,0.842105263,0.862318841,0.952631579,0.9004329,0.889328063,0.96969697,1,0.873517787,0.855072464,0.796923077
66,clustering,reward,0.225,0.669655345,0.47826826,0.229761905,0.6,0,0.727272727,0.709090909,0,0.166666667,0,0.3,0.651515152,0.6,0.3,0.333333333,0.285714286,0,0,0,0.56043956,0.681818182,0.6,0.611111111,0.564102564,0,0.653846154,1,0.644444444,0.611111111,0.727272727,0.822222222
67,clustering,reward,0.607575758,0.586328745,0.472016699,0.606547619,0.533333333,0.5,0.507352941,0.618181818,0,0.4,0.651515152,0.745454545,0.491666667,0.785714286,1,0.333333333,0.7,0.392857143,0.833333333,0.380952381,0.615384615,0.604395604,0,0.4,0.461538462,0.781818182,0.642857143,0.488888889,0.535714286,0.454545455,0.333333333,0.561904762
68,clustering,reward,0.45,0.722710092,0.555852409,0.659899749,0,0.5,0.888888889,0.651515152,0,0.672727273,0.633333333,0.666666667,0.654411765,0.166666667,0.67032967,0.561904762,0.758241758,0.649122807,0.714285714,0.711111111,0.681318681,0.669117647,0,0.703296703,0.756410256,0,0.736263736,0.705882353,0.927272727,0.848484848,0.685714286,0.611111111
69,clustering,reward,0.375,0.690151515,0.476366342,0.588458111,1,0,0.466666667,0.393939394,0,0.5,0.5,0,0.714285714,0.333333333,0.323529412,0.515151515,1,0.515151515,0.490909091,0.4,1,0.9,0.6,0.666666667,0.7,0,0.466666667,0.333333333,0.533333333,0.5,0.583333333,0.8
70,clustering,reward,0.879563492,0.692337461,0.817918081,0.788467492,1,1,0.77124183,0.676470588,0.758333333,0.868131868,0.657142857,0.861111111,0.803921569,0.777777778,0.742105263,0.745098039,1,0.666666667,0.824561404,0.830065359,0.631578947,0.69005848,1,0.7,0.727941176,1,0.81871345,0.763157895,0.760233918,0.752380952,0.843137255,0.858333333
71,clustering,reward,0.70952381,0.501984127,0.471308032,0.6375,0.571428571,1,0.5,0.5,0.607142857,0.642857143,0.666666667,0.6,0.583333333,0.472222222,1,0.3,0.722222222,0.527777778,0.527272727,0.666666667,0.472222222,0.535714286,0.5,0.3,0.475,0.333333333,0.384615385,0.733333333,0,0.581818182,0.533333333,0.2
72,clustering,reward,0.294444445,0.780586081,0.709632728,0.333333333,0,0,0.791208791,0.813186813,0.4,1,0.577777778,0.6,0.846153846,0.909090909,0,0,0.333333333,1,0.2,0.666666667,0.704761905,0.813186813,0.666666667,0.577777778,0.657142857,0.769230769,0.944444444,0.871794872,0.666666667,0.761904762,0.636363636,0.78021978
73,clustering,reward,0.402056277,0.719852044,0.651446151,0.763988095,0.714285714,0.560606061,0.666666667,0.80952381,0.888888889,0.571428571,0,0.333333333,0.725,0.736263736,0.741666667,0.733333333,0.8,0.780952381,0.712121212,0.6,0.769230769,0.633986928,0.3,0.666666667,0.717948718,0.466666667,0.464285714,0.666666667,0.945454545,0.871794872,0.526315789,0.563636364
74,clustering,reward,0.646475257,0.581222944,0.592708333,0.502777778,0.367647059,0.857142857,0.642857143,0.535714286,0.7,0.4,0.666666667,0.694444444,0.571428571,0.5,0.4,0.333333333,0.833333333,0.444444444,0.583333333,0.406593407,0.619047619,0.527272727,1,0.333333333,0.952380952,0.6,1,1,0.7,0,0.307692308,0.428571429
75,clustering,reward,0.730112045,0.775280112,0.782322095,0.870308123,1,0.638095238,1,0.780952381,0.666666667,0.77124183,0.622222222,0.660130719,0.838235294,0.984848485,0.838235294,0.838235294,0.9,0.904761905,0.714285714,1,0.705882353,0.614285714,1,0,1,0.761904762,1,0.707602339,0.791666667,0.866666667,0.8,0.614035088
76,clustering,reward,0.658333334,0.439880952,0.46577381,0.166666667,0.5,0.8,0.533333333,0.3,0.6,0,0.666666667,0.666666667,0.4,0.285714286,0.333333333,0.333333333,0,0,0.4,0.333333333,0.392857143,0.533333333,0.333333333,1,1,0.4,0.4,0.7,0,0.6,0.7,0.3
