ID,Amygdala_L_cluster,Amygdala_R_cluster,Dorsal_striatum_L_cluster,Dorsal_striatum_R_cluster,Fusiform_gyrus_L_cluster,Fusiform_gyrus_R_cluster,Hippocampus_L_cluster,Hippocampus_R_cluster,Insula_L_cluster,Insula_R_cluster,Intracalcarine_cortex_L_cluster,Intracalcarine_cortex_R_cluster,lOFC_L_cluster,lOFC_R_cluster,mOFC_L_cluster,mOFC_R_cluster,Oral_somatosensory_cortex_R_cluster,Oral_somatosensory_cortex_L_cluster,Precuneus_L_cluster,Precuneus_R_cluster,Ventral_striatum_L_cluster,Ventral_striatum_R_cluster,vlPFC_L_cluster,vlPFC_R_cluster,vlThalamus_L_cluster,vlThalamus_R_cluster,vmPFC_L_cluster,vmPFC_R_cluster,Amygdala_L_central,Amygdala_R_central,Dorsal_striatum_L_central,Dorsal_striatum_R_central,Fusiform_gyrus_L_central,Fusiform_gyrus_R_central,Hippocampus_L_central,Hippocampus_R_central,Insula_L_central,Insula_R_central,Intracalcarine_cortex_L_central,Intracalcarine_cortex_R_central,lOFC_L_central,lOFC_R_central,mOFC_L_central,mOFC_R_central,Oral_somatosensory_cortex_R_central,Oral_somatosensory_cortex_L_central,Precuneus_L_central,Precuneus_R_central,Ventral_striatum_L_central,Ventral_striatum_R_central,vlPFC_L_central,vlPFC_R_central,vlThalamus_L_central,vlThalamus_R_central,vmPFC_L_central,vmPFC_R_central
78,0.673684211,0.666666667,0.777777778,0.75,0.333333333,0.666666667,0.641025641,0.636363636,0.775,0.7,0.666666667,0.636842105,0.476190476,0.333333333,0.6,0.688888889,0.715789474,0.748538012,0.666666667,0.666666667,0.801470588,0.808823529,0.727941176,0.707602339,0.604395604,0.805555556,0.732026144,0.895238095,0.04480788,0.048066969,0.014335697,0.014537936,0.005904247,0.008888884,0.02848272,0.02446096,0.01701957,0.000931681,0.060476147,0.047277885,0.012013443,0.00079139,0.004140878,0.009654226,0.026276143,0.018313372,0.005971692,0.027998841,0.010041347,0.009446729,0.024610108,0.031448492,0.044583564,0.004624794,0.038561437,0.003227551
79,0.714285714,0.6,0.714285714,0.472222222,0.5,0.571428571,0.3,0,0.436363636,0.333333333,0.384615385,0.511111111,0.642857143,0.8,0.666666667,0.714285714,0.571428571,0.555555556,0.333333333,0,0.384615385,0.5,0.428571429,0.422222222,0.428571429,0.80952381,0.5,0.428571429,0.006130144,0.008977679,0.011956348,0.055316663,0.027324048,0.033905182,0.053288065,0.003165559,0.098922136,0.031291548,0.160545347,0.046654193,0.023956177,0.007067719,0.012208017,0.0147529,0.022282134,0.04095333,0.010731244,0.005365622,0.122646035,0.012224333,0.039201001,0.071593506,0.034007769,0.002717858,0.042865212,0.0683263
80,0.464285714,0.619047619,0.545454545,0.53030303,0.361111111,0,0.571428571,0.571428571,0.678571429,0.563636364,0.285714286,0.6,0,0.333333333,0.5,0.2,0.527272727,1,0.666666667,0.666666667,0.5,0.4,0.785714286,0.75,0.5,0.8,0.590909091,0.654545455,0.061095449,0.019973505,0.035785163,0.100169892,0.125233725,0,0.033401602,0.03095144,0.010439663,0.08838217,0.122195294,0.026764625,0,0.005050979,0.017522862,0.133941344,0.081549939,0,0.010297213,0.010224755,0.016270007,0.093099675,0.004898702,0.011457061,0.017488494,0.002788735,0.060832085,0.025484764
81,0,0,0.614035088,0.571428571,0.755555556,0.666666667,0.742857143,0.7,0.846153846,0.696969697,0.333333333,0.472727273,0.166666667,0,0.6,0.2,0.647058824,0.669117647,0,0.813186813,0.871794872,0.785714286,0.939393939,0.639705882,0.766666667,0.742424242,0.939393939,0.868131868,0.088487747,0.01994302,0.068874423,0.110573614,0.010543398,0.01367213,0.023656543,0.015843511,0.004702191,0.019370342,0.01460114,0.099532321,0.075502892,0.005606431,0.012159137,0.139971243,0.047625752,0.03716094,0,0.006808315,0.003949137,0.006538444,0.001177012,0.107852594,0.019885702,0.050197879,0.001177012,0.005983143
82,0.857142857,0.75,0.823529412,0.823529412,0.691666667,0.75,0.563636364,0.733333333,0.666666667,0.7,0.712418301,0.764705882,0.69005848,0.714285714,0.730769231,0.720588235,0.823529412,0.748538012,0.666666667,0,0.75,0.666666667,1,0.96969697,0.631578947,0.65497076,0.935897436,0.866666667,0.001759789,0.003885989,0.009217301,0.009217301,0.018242678,0.004331032,0.032369618,0.006689051,0.040370313,0.032249577,0.026653246,0.014391807,0.034278786,0.012163172,0.009736452,0.022791201,0.009217301,0.020287452,0.000569801,0,0.033984118,0.035658325,0,0.000637634,0.038310306,0.034632682,0.001753131,0.005291397
83,0.978354978,0.978354978,0.978354978,0.978354978,0.901185771,0.901185771,1,0.978354978,0.978354978,1,0.5,1,0.829710145,0.901185771,0.333333333,0.978354978,0.978354978,0.978354978,0,0.897233202,0.978354978,1,0.333333333,0.4,0.978354978,0.978354978,0.917748918,0.841897233,0.00099622,0.00099622,0.00099622,0.00099622,0.019277322,0.019277322,0,0.00099622,0.00099622,0,0.002492877,0,0.07388321,0.022047185,0.045109212,0.00099622,0.00099622,0.00099622,0.003205128,0.050972478,0.00099622,0,0.026471985,0.010842039,0.00099622,0.00099622,0.018043685,0.095283318
84,0,0,0.918128655,0.947712418,0.5,0.814285714,0.69047619,0.833333333,0.814285714,0.912087912,0.831578947,0.83625731,0.666666667,0.666666667,0.771428571,0.673684211,0.868421053,0.814285714,0.719047619,0.947712418,0.918128655,1,0.983333333,0.963235294,0.651515152,0.785714286,0.918128655,0.918128655,0,0,0.003670854,0.00188414,0.075498575,0.015577643,0.106920121,0.004083571,0.015577643,0.002551068,0.013608562,0.012216281,0.002432841,0.002116402,0.059986144,0.102397504,0.007709086,0.015577643,0.086344173,0.00188414,0.003670854,0,0.000623352,0.001292096,0.026128009,0.009255166,0.003670854,0.003670854
85,0.833333333,0.533333333,0.666666667,0.642857143,0.288888889,0.555555556,0.666666667,1,0.666666667,0.607142857,0.563636364,0.39047619,0.388888889,1,0.571428571,0.484848485,0.666666667,0.472727273,0.333333333,1,0.166666667,0.555555556,0.5,0.733333333,0.428571429,0.622222222,0.3,0.523809524,0.001230251,0.029533943,0.007982687,0.013490996,0.156230909,0.036251332,0.003640393,0,0.010578405,0.011386967,0.038617792,0.201743587,0.069327207,0,0.00861032,0.077935566,0.002611586,0.053651413,0.002991453,0,0.034584891,0.040162718,0.075643445,0.004057671,0.034313732,0.018174007,0.143162393,0.046593459
86,1,0.333333333,0.417582418,0.563636364,0.472222222,0.5,0.8,0.733333333,0.358974359,0.464285714,0.866666667,0.714285714,0.5,0.392857143,0.3,0.333333333,0.6,0.483516484,0.678571429,0.607142857,0.535714286,0.416666667,1,0.9,0.5,0.6,0.666666667,0.428571429,0,0.099542577,0.109073021,0.053575562,0.055668858,0.005582689,0.007094808,0.010948876,0.138730047,0.02819704,0.002540361,0.013311277,0.055215125,0.034034381,0.015176696,0.007661885,0.041696537,0.119455477,0.01752638,0.012117847,0.04124777,0.09030143,0,0.000712251,0.007510288,0.003820254,0.023800012,0.04534459
87,0.641025641,0.8,0.723809524,0.610294118,0.777777778,0.714285714,0.616666667,0.636363636,0.8,0.691666667,0.8,0.648351648,0.576190476,0.602339181,0.781818182,0.621212121,0.703296703,0.604395604,0.727272727,0.561403509,0.642857143,0.678571429,0.666666667,0,0.666666667,0.669117647,0.596491228,0.711111111,0.019352678,0.001181432,0.023825018,0.050960773,0.003721793,0.004204891,0.032763939,0.011081001,0.003580057,0.020220307,0.001573128,0.025679008,0.053229381,0.038090076,0.004824839,0.02148094,0.021318563,0.043904657,0.009183388,0.069125517,0.007702762,0.013315023,0.00096044,0,0.012744682,0.02359844,0.042584957,0.006743878
88,0.607843137,0.75,0.723809524,0.7,0.805555556,0.475,0.610294118,0.666666667,0.916666667,0.647058824,0.681818182,0.653846154,0.666666667,0.6,0.805555556,0.6,0.549450549,0.607843137,0,0.67032967,0.651515152,0.7,0.8,0.820512821,0.428571429,0.333333333,0.80952381,0.602564103,0.043819456,0.009462534,0.013951517,0.017788048,0.003336099,0.072768928,0.041819398,0.033062595,0.001115859,0.028837377,0.012125194,0.017162928,0.002813091,0.036561024,0.003120336,0.026813713,0.03559869,0.03528852,0,0.020250048,0.020087688,0.002607596,0.006016218,0.005659254,0.014536819,0.0177312,0.001432415,0.037487016
89,0.691176471,0.761904762,0.852941176,0.823529412,0.533333333,1,0.681318681,0.722222222,0.823529412,0.852941176,1,1,0,0,0.571428571,0.571428571,0.895238095,0.895238095,0.784313725,0.808823529,0.852941176,0.857142857,1,0.85,0.67032967,0.657894737,0.875,0.945054945,0.065122154,0.02355624,0.006065971,0.008917707,0.089324419,0,0.040105322,0.011250354,0.008917707,0.006065971,0,0,0,0,0.037674671,0.053861117,0.003038897,0.003038897,0.015288905,0.011194156,0.006058922,0.004210707,0,0.006396811,0.036633839,0.115726615,0.004618653,0.001336524
90,1,0.5,0.581818182,0.6,0.333333333,0.490909091,0.454545455,0.644444444,0.688888889,0.644444444,0.254545455,0.416666667,0.4,0,0.333333333,0.333333333,0.438095238,0.571428571,0.666666667,1,0.7,0.466666667,0.5,0.4,0.472222222,0.5,0.380952381,0.476190476,0,0.059128834,0.02911159,0.02799573,0.027583765,0.040558848,0.049139599,0.016204577,0.011953028,0.015257582,0.141615997,0.051028561,0.034520418,0,0.016195225,0.031081264,0.131372118,0.015534979,0.007929725,0,0.002585686,0.008789904,0.026899335,0.019871795,0.066437772,0.003667012,0.0626598,0.01740677
